site,month,date,time,chamber,side,spp,number
Duke,May,5/12/2010,18,12,b,prim,38
Duke,May,5/12/2010,18,13,a,apru,1
Duke,May,5/12/2010,18,13,a,crli,8
Duke,May,5/12/2010,18,13,b,none,0
Duke,May,5/12/2010,18,14,a,prim,21
Duke,May,5/12/2010,18,14,b,prim,100
Duke,May,5/12/2010,18,15,a,prim,110
Duke,May,5/12/2010,18,15,b,crli,1
Duke,May,5/12/2010,19,1,a,crli,16
Duke,May,5/12/2010,19,1,b,crli,2
Duke,May,5/12/2010,19,2,a,prim,41
Duke,May,5/12/2010,19,2,b,apla,1
Duke,May,5/12/2010,19,2,b,crli,8
Duke,May,5/12/2010,19,3,a,apru,1
Duke,May,5/12/2010,19,3,a,crli,6
Duke,May,5/12/2010,19,3,b,crli,12
Duke,May,5/12/2010,19,4,a,prim,1
Duke,May,5/12/2010,19,4,b,crli,2
Duke,May,5/12/2010,19,5,a,crli,24
Duke,May,5/12/2010,19,5,b,prim,13
Duke,May,5/12/2010,19,6,a,tecu,1
Duke,May,5/12/2010,19,6,b,crli,1
Duke,May,5/12/2010,19,6,b,fosu,1
Duke,May,5/12/2010,19,6,b,tecu,2
Duke,May,5/12/2010,19,7,a,crli,6
Duke,May,5/12/2010,19,7,b,crli,85
Duke,May,5/12/2010,19,8,a,crli,30
Duke,May,5/12/2010,19,8,b,apru,1
Duke,May,5/12/2010,19,9,a,crli,7
Duke,May,5/12/2010,19,9,b,fosu,3
Duke,May,5/12/2010,19,10,a,cape,4
Duke,May,5/12/2010,19,10,b,cape,1
Duke,May,5/12/2010,19,10,b,fosu,1
Duke,May,5/12/2010,19,11,a,cape,6
Duke,May,5/12/2010,19,11,b,cape,1
Duke,May,5/12/2010,19,11,b,fosu,1
Duke,May,5/12/2010,19,12,a,fosu,2
Duke,May,5/12/2010,19,12,b,prim,35
Duke,May,5/12/2010,19,13,a,apru,2
Duke,May,5/12/2010,19,13,a,crli,8
Duke,May,5/12/2010,19,13,a,prim,1
Duke,May,5/12/2010,19,13,b,prim,2
Duke,May,5/12/2010,19,14,a,prim,23
